epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.408,1.41444,2.05187,1.30425,0.36715,0.23269,0.19241,0.10344,1.89413,2.48185,1.28089,0.00332663,0.00332663,0.0700604
2,258.975,1.34637,1.31345,1.21254,0.51415,0.54038,0.45666,0.29082,1.74964,1.97684,1.20568,0.00652809,0.00652809,0.0399285
3,386.072,1.44907,1.42048,1.26259,0.27049,0.26599,0.13515,0.07914,2.45416,3.77488,1.651,0.00959756,0.00959756,0.00966463
4,510.972,1.53596,1.50079,1.31742,0.36923,0.34553,0.22312,0.12991,2.15317,3.09152,1.44621,0.009406,0.009406,0.009406
5,638.663,1.45774,1.3503,1.27435,0.54861,0.58672,0.46121,0.29906,1.75821,1.85933,1.20183,0.009208,0.009208,0.009208
6,766.02,1.40639,1.28524,1.24161,0.55683,0.61031,0.5058,0.32433,1.69707,1.64625,1.19292,0.00901,0.00901,0.00901
7,891.512,1.3544,1.18378,1.21313,0.58334,0.54682,0.47552,0.29876,1.70149,2.23988,1.18466,0.008812,0.008812,0.008812
8,1019.92,1.31428,1.14792,1.19892,0.47339,0.46926,0.3788,0.24427,1.65541,2.07399,1.19202,0.008614,0.008614,0.008614
9,1147.19,1.28859,1.10127,1.18007,0.61181,0.64302,0.56527,0.37131,1.62578,1.45853,1.1315,0.008416,0.008416,0.008416
10,1272.36,1.27073,1.06511,1.16942,0.56739,0.68598,0.58745,0.38267,1.56172,1.44326,1.12125,0.008218,0.008218,0.008218
11,1399.78,1.23308,1.02877,1.15421,0.58641,0.68226,0.62225,0.41799,1.4703,1.41074,1.0889,0.00802,0.00802,0.00802
12,1527.08,1.21863,1.00681,1.15073,0.62686,0.69697,0.62911,0.41953,1.48914,1.32199,1.09731,0.007822,0.007822,0.007822
13,1654.71,1.19542,0.97706,1.13513,0.60769,0.6818,0.62464,0.41665,1.47217,1.30943,1.08669,0.007624,0.007624,0.007624
14,1779.49,1.19269,0.96437,1.12887,0.66355,0.69408,0.68434,0.46713,1.46382,1.27524,1.06333,0.007426,0.007426,0.007426
15,1906.74,1.179,0.94138,1.12296,0.63576,0.7095,0.65864,0.45698,1.42983,1.23822,1.05561,0.007228,0.007228,0.007228
16,2034.67,1.16064,0.92091,1.10663,0.65577,0.69564,0.64926,0.43699,1.40711,1.20677,1.05288,0.00703,0.00703,0.00703
17,2158.93,1.13439,0.89065,1.09749,0.6257,0.68362,0.66876,0.45174,1.39351,1.21941,1.03872,0.006832,0.006832,0.006832
18,2286.36,1.11896,0.87268,1.09088,0.6531,0.72439,0.66497,0.46315,1.39561,1.17782,1.05696,0.006634,0.006634,0.006634
19,2415.31,1.11204,0.86947,1.09176,0.66294,0.71526,0.68787,0.46602,1.39126,1.16676,1.04216,0.006436,0.006436,0.006436
20,2543.07,1.11636,0.85763,1.08521,0.62686,0.7315,0.67603,0.46764,1.37328,1.17781,1.04792,0.006238,0.006238,0.006238
21,2667.95,1.08833,0.83573,1.07398,0.65343,0.73042,0.6704,0.47317,1.37971,1.15113,1.03018,0.00604,0.00604,0.00604
22,2795.88,1.08444,0.82635,1.07272,0.65641,0.70259,0.66523,0.46526,1.36998,1.16168,1.02574,0.005842,0.005842,0.005842
23,2923.65,1.06966,0.81446,1.07079,0.63446,0.76117,0.68492,0.48147,1.34455,1.1107,1.02514,0.005644,0.005644,0.005644
24,3048.21,1.04751,0.79427,1.06045,0.68573,0.7161,0.68014,0.47252,1.34783,1.12708,1.01908,0.005446,0.005446,0.005446
25,3178.26,1.03986,0.78563,1.05178,0.65186,0.74661,0.68117,0.46561,1.35471,1.11535,1.02665,0.005248,0.005248,0.005248
26,3311.59,1.01847,0.77178,1.04616,0.63105,0.76089,0.68514,0.47972,1.35022,1.1048,1.02091,0.00505,0.00505,0.00505
27,3438.74,1.02294,0.75322,1.04738,0.64739,0.75007,0.68785,0.48277,1.32233,1.08305,1.01193,0.004852,0.004852,0.004852
28,3570.57,1.0095,0.74336,1.03839,0.65603,0.74314,0.69775,0.48455,1.31291,1.07661,1.00863,0.004654,0.004654,0.004654
29,3699.53,0.99976,0.73674,1.03549,0.67814,0.72678,0.69975,0.48919,1.32417,1.08394,1.0044,0.004456,0.004456,0.004456
30,3829.51,0.98139,0.72096,1.0301,0.68665,0.73776,0.69099,0.48611,1.3094,1.04199,1.01381,0.004258,0.004258,0.004258
31,3960.04,0.97054,0.70442,1.02721,0.64969,0.75396,0.7113,0.49778,1.32734,1.05338,1.01162,0.00406,0.00406,0.00406
