epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.684,1.3098,2.07261,1.28542,0.46678,0.41775,0.3343,0.18877,1.75807,2.24896,1.23334,0.00332593,0.00332593,0.0700667
2,349.984,1.26324,1.32323,1.2016,0.49479,0.58608,0.46644,0.28542,1.61393,1.86731,1.13235,0.00652741,0.00652741,0.0399348
3,516.312,1.3737,1.43946,1.26804,0.4952,0.5357,0.42165,0.24479,1.90336,2.12764,1.28499,0.00959689,0.00959689,0.00967096
4,679.978,1.47305,1.52313,1.32717,0.56712,0.48586,0.42342,0.25999,1.86365,2.18477,1.27856,0.009406,0.009406,0.009406
5,846.621,1.40278,1.39611,1.28577,0.48102,0.42607,0.35109,0.21747,1.91041,2.42554,1.32147,0.009208,0.009208,0.009208
6,1010.15,1.34482,1.30119,1.24355,0.55646,0.56755,0.50281,0.33005,1.68843,1.83044,1.19875,0.00901,0.00901,0.00901
7,1177.66,1.27773,1.20707,1.21852,0.53557,0.62609,0.53189,0.34891,1.68109,1.68824,1.17852,0.008812,0.008812,0.008812
8,1344.94,1.24341,1.15874,1.1958,0.57071,0.63425,0.57164,0.38003,1.62496,1.54764,1.15695,0.008614,0.008614,0.008614
9,1518.26,1.20031,1.11055,1.17762,0.59898,0.6599,0.59125,0.39313,1.5877,1.50203,1.12935,0.008416,0.008416,0.008416
10,1684.92,1.19899,1.0878,1.16542,0.56858,0.65123,0.57561,0.38434,1.56844,1.5355,1.12693,0.008218,0.008218,0.008218
11,1839.81,1.15341,1.03681,1.14464,0.63118,0.66688,0.60522,0.40359,1.56224,1.38795,1.12953,0.00802,0.00802,0.00802
12,2003.76,1.13602,1.01616,1.14259,0.66395,0.67376,0.63415,0.43327,1.49212,1.37481,1.09424,0.007822,0.007822,0.007822
13,2167.77,1.11245,0.98022,1.13013,0.63167,0.67041,0.61837,0.40317,1.49818,1.357,1.10367,0.007624,0.007624,0.007624
14,2335.79,1.08209,0.95451,1.10931,0.59804,0.69484,0.62007,0.41971,1.47185,1.34907,1.08624,0.007426,0.007426,0.007426
15,2500.84,1.07405,0.93348,1.10739,0.61749,0.69078,0.65285,0.45584,1.45274,1.2802,1.0686,0.007228,0.007228,0.007228
16,2665.73,1.06239,0.92336,1.10322,0.6404,0.70835,0.63442,0.43653,1.4476,1.28463,1.06963,0.00703,0.00703,0.00703
17,2828.35,1.05287,0.8964,1.09619,0.69464,0.67026,0.67208,0.46149,1.43394,1.23272,1.07074,0.006832,0.006832,0.006832
18,2991.06,1.03307,0.8782,1.08727,0.68467,0.68873,0.70116,0.47122,1.42193,1.20985,1.05636,0.006634,0.006634,0.006634
19,3142.18,1.0213,0.85994,1.07712,0.63705,0.72137,0.67217,0.45699,1.40434,1.21379,1.04545,0.006436,0.006436,0.006436
20,3269.65,1.00288,0.84807,1.06979,0.63974,0.73351,0.67402,0.46508,1.41438,1.20711,1.05391,0.006238,0.006238,0.006238
21,3412.05,0.98375,0.81649,1.06687,0.63483,0.71371,0.66756,0.45523,1.38964,1.19446,1.05239,0.00604,0.00604,0.00604
22,3541.82,0.97965,0.81979,1.06193,0.63625,0.73684,0.68797,0.48581,1.37247,1.16301,1.03402,0.005842,0.005842,0.005842
23,3683.6,0.96366,0.80227,1.05035,0.67336,0.70541,0.67938,0.48093,1.36919,1.13747,1.0342,0.005644,0.005644,0.005644
24,3826.45,0.94886,0.78441,1.04984,0.66517,0.73221,0.68954,0.4799,1.36606,1.11637,1.04405,0.005446,0.005446,0.005446
25,3967.93,0.93818,0.76971,1.0388,0.70564,0.71121,0.68434,0.48336,1.3517,1.11551,1.03271,0.005248,0.005248,0.005248
26,4109.85,0.92284,0.76307,1.03776,0.63265,0.75956,0.7079,0.49552,1.34545,1.12983,1.02776,0.00505,0.00505,0.00505
27,4230.34,0.91003,0.74126,1.02834,0.66709,0.74981,0.71277,0.51426,1.33369,1.07805,1.01639,0.004852,0.004852,0.004852
28,4365.56,0.90369,0.73798,1.0307,0.67041,0.70986,0.69499,0.49168,1.31692,1.08208,1.01893,0.004654,0.004654,0.004654
29,4499.21,0.89123,0.70993,1.02243,0.64111,0.73229,0.70274,0.49033,1.34475,1.09506,1.0264,0.004456,0.004456,0.004456
30,4608.41,0.87377,0.70131,1.01063,0.66807,0.72687,0.69978,0.49379,1.33758,1.06595,1.02473,0.004258,0.004258,0.004258
31,4717.34,0.86907,0.69306,1.01399,0.69205,0.71167,0.69852,0.49442,1.31381,1.0591,1.01204,0.00406,0.00406,0.00406
32,4828.15,0.85986,0.68967,1.00657,0.6453,0.76137,0.69728,0.48856,1.31717,1.06189,1.01726,0.003862,0.003862,0.003862
33,4936,0.83957,0.66561,0.99485,0.65867,0.76386,0.70828,0.49983,1.30638,1.01843,1.01635,0.003664,0.003664,0.003664
34,5047.99,0.83532,0.65848,0.9937,0.64111,0.75585,0.69714,0.48791,1.32682,1.03542,1.01826,0.003466,0.003466,0.003466
35,5180.2,0.82075,0.64491,0.98798,0.63212,0.77286,0.70634,0.50192,1.30577,1.03936,1.00895,0.003268,0.003268,0.003268
36,5305.24,0.80658,0.6282,0.98656,0.66757,0.75531,0.71374,0.51562,1.29416,1.01866,1.00685,0.00307,0.00307,0.00307
37,5451.01,0.80384,0.62434,0.97833,0.6769,0.74866,0.71762,0.51322,1.3008,1.01972,1.01206,0.002872,0.002872,0.002872
38,5592.31,0.78888,0.61386,0.97696,0.67496,0.75268,0.71222,0.50934,1.29295,1.00633,1.01401,0.002674,0.002674,0.002674
39,5733.39,0.78515,0.60038,0.97555,0.66617,0.75858,0.71226,0.50278,1.30063,1.01862,1.00787,0.002476,0.002476,0.002476
40,5875.83,0.76155,0.59022,0.96893,0.64841,0.75235,0.70766,0.50474,1.28915,1.02222,1.00583,0.002278,0.002278,0.002278
41,6014.77,0.81383,0.59748,0.97103,0.67315,0.74081,0.70769,0.504,1.29643,1.02,1.00506,0.00208,0.00208,0.00208
42,6153.79,0.7806,0.57078,0.94788,0.6599,0.75283,0.70649,0.50172,1.29523,1.01485,1.00453,0.001882,0.001882,0.001882
43,6294.4,0.77505,0.55579,0.94395,0.67356,0.73297,0.7141,0.51241,1.29835,1.01376,1.00725,0.001684,0.001684,0.001684
44,6432.15,0.76107,0.54673,0.94225,0.67137,0.74623,0.71728,0.51594,1.29985,1.01268,1.00482,0.001486,0.001486,0.001486
45,6572.58,0.73586,0.52745,0.93158,0.69397,0.7437,0.71366,0.51237,1.29605,1.01315,1.00376,0.001288,0.001288,0.001288
46,6704.21,0.72482,0.51324,0.92865,0.69422,0.73336,0.7096,0.51123,1.29328,1.01785,1.00357,0.00109,0.00109,0.00109
47,6843.52,0.71286,0.50009,0.9218,0.68839,0.7368,0.70373,0.50113,1.29062,1.02458,1.00392,0.000892,0.000892,0.000892
48,6982.95,0.69324,0.4836,0.91647,0.65983,0.74625,0.70611,0.50307,1.2879,1.02427,1.00518,0.000694,0.000694,0.000694
49,7121.35,0.69511,0.48068,0.91889,0.6558,0.74836,0.70632,0.50173,1.2886,1.02985,1.0081,0.000496,0.000496,0.000496
50,7258.92,0.67989,0.46973,0.91351,0.64834,0.75597,0.70787,0.50436,1.28927,1.03307,1.00879,0.000298,0.000298,0.000298
