epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.422,1.78515,2.56274,1.28458,0.52467,0.43976,0.3869,0.22447,1.8173,2.37846,1.24109,0.00332463,0.00332463,0.0700783
2,219.364,1.73106,1.60056,1.21729,0.49297,0.37357,0.36548,0.19622,1.76767,1.93949,1.20036,0.00652614,0.00652614,0.0399465
3,317.585,1.88919,1.74586,1.29002,0.1462,0.20718,0.10183,0.04286,2.3962,2.94782,1.55625,0.00959564,0.00959564,0.00968267
4,413.646,2.04791,1.9633,1.38414,0.42541,0.34376,0.3312,0.15291,2.10631,2.36593,1.41432,0.009406,0.009406,0.009406
5,514.685,1.96228,1.78215,1.3619,0.25349,0.30175,0.21915,0.09098,2.07419,2.40354,1.39649,0.009208,0.009208,0.009208
6,615.825,1.9087,1.6495,1.32715,0.4079,0.53338,0.38373,0.19467,1.79883,1.79031,1.24654,0.00901,0.00901,0.00901
7,714.549,1.84067,1.54319,1.29254,0.49296,0.53652,0.42535,0.24102,1.77638,1.79196,1.24077,0.008812,0.008812,0.008812
8,826.053,1.81652,1.51145,1.27353,0.63132,0.55498,0.52834,0.28159,1.73204,1.64113,1.21312,0.008614,0.008614,0.008614
9,942.946,1.77819,1.44527,1.25554,0.60625,0.60716,0.58128,0.31711,1.67913,1.52352,1.1861,0.008416,0.008416,0.008416
10,1058.98,1.74742,1.41346,1.2379,0.61104,0.59235,0.57126,0.32349,1.63739,1.48706,1.17165,0.008218,0.008218,0.008218
11,1175.57,1.71205,1.3664,1.21872,0.53458,0.64484,0.56465,0.32093,1.66132,1.49004,1.16901,0.00802,0.00802,0.00802
12,1290.12,1.69885,1.33274,1.2134,0.64655,0.6563,0.60854,0.35499,1.61116,1.37848,1.16424,0.007822,0.007822,0.007822
13,1406.28,1.66903,1.28771,1.20246,0.637,0.63356,0.56868,0.32679,1.64845,1.45914,1.14681,0.007624,0.007624,0.007624
14,1522.69,1.64593,1.27391,1.19122,0.62471,0.61167,0.62057,0.38264,1.57197,1.40146,1.12047,0.007426,0.007426,0.007426
15,1638.28,1.63269,1.25302,1.1807,0.60554,0.65075,0.60968,0.35969,1.53654,1.33817,1.11776,0.007228,0.007228,0.007228
16,1757.43,1.62628,1.22241,1.18357,0.64673,0.66541,0.60934,0.38082,1.51835,1.3313,1.11427,0.00703,0.00703,0.00703
17,1895.01,1.61056,1.20371,1.16809,0.66333,0.65039,0.64241,0.39785,1.50296,1.31038,1.09162,0.006832,0.006832,0.006832
18,2067.6,1.59684,1.19695,1.16683,0.60884,0.72602,0.63934,0.41953,1.49298,1.28065,1.0882,0.006634,0.006634,0.006634
19,2242.15,1.58758,1.17163,1.15402,0.6896,0.64923,0.66383,0.41348,1.47104,1.26406,1.074,0.006436,0.006436,0.006436
20,2411.02,1.56836,1.15083,1.1414,0.63866,0.65922,0.64624,0.39989,1.49618,1.27891,1.09636,0.006238,0.006238,0.006238
21,2582.03,1.55178,1.13513,1.13872,0.68077,0.66468,0.66869,0.4179,1.45507,1.20524,1.06902,0.00604,0.00604,0.00604
22,2754.61,1.55245,1.12642,1.13672,0.66314,0.60379,0.62557,0.40158,1.48304,1.32784,1.09194,0.005842,0.005842,0.005842
23,2934.03,1.52942,1.09527,1.13087,0.68263,0.69763,0.68218,0.44447,1.42476,1.18005,1.04635,0.005644,0.005644,0.005644
24,3142.26,1.53124,1.0976,1.13019,0.68159,0.73615,0.70566,0.4366,1.43713,1.14828,1.05693,0.005446,0.005446,0.005446
