epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.716,1.70888,3.27281,1.24499,0.42521,0.26891,0.23053,0.11876,1.82633,2.25562,1.26205,0.00332344,0.00332344,0.070089
2,252.421,1.69491,1.81214,1.21123,0.32075,0.40955,0.25136,0.1238,1.89908,2.09026,1.2773,0.00652497,0.00652497,0.0399572
3,382.122,1.91673,2.01752,1.30354,0.25523,0.27181,0.13041,0.05778,2.20232,3.09681,1.48393,0.0095945,0.0095945,0.00969341
4,509.719,2.10749,2.19498,1.43055,0.35015,0.16853,0.14538,0.06894,2.4403,3.09694,1.64166,0.009406,0.009406,0.009406
5,639.105,2.07796,2.12415,1.41697,0.43548,0.30482,0.27758,0.13991,2.07678,2.64797,1.41699,0.009208,0.009208,0.009208
6,767.791,1.96078,1.94567,1.36153,0.385,0.2467,0.19231,0.09991,2.16471,2.62796,1.46074,0.00901,0.00901,0.00901
7,896.13,1.90911,1.81147,1.31539,0.4565,0.35878,0.34085,0.1745,2.01294,2.32857,1.43028,0.008812,0.008812,0.008812
8,1028.76,1.86723,1.7857,1.30955,0.43432,0.55555,0.45043,0.23371,1.81241,1.71599,1.26728,0.008614,0.008614,0.008614
9,1157.03,1.83855,1.7167,1.29217,0.62755,0.42503,0.43546,0.24535,1.77547,1.88163,1.25817,0.008416,0.008416,0.008416
10,1285.36,1.77003,1.5973,1.25058,0.6335,0.58592,0.54342,0.30168,1.74424,1.58558,1.22057,0.008218,0.008218,0.008218
11,1415.25,1.73534,1.57377,1.23798,0.5624,0.60068,0.55283,0.27358,1.66389,1.48654,1.20257,0.00802,0.00802,0.00802
12,1537.67,1.72781,1.54414,1.2349,0.59102,0.57831,0.56816,0.31274,1.65436,1.56496,1.18958,0.007822,0.007822,0.007822
13,1662.75,1.68904,1.50251,1.22448,0.63368,0.59762,0.56007,0.33307,1.6241,1.49444,1.16744,0.007624,0.007624,0.007624
14,1793.08,1.67582,1.47134,1.1983,0.64021,0.5954,0.61648,0.36579,1.61165,1.40986,1.16431,0.007426,0.007426,0.007426
15,1909.87,1.63913,1.45494,1.1878,0.59897,0.65502,0.60962,0.34131,1.5902,1.38381,1.15412,0.007228,0.007228,0.007228
16,2027.19,1.64061,1.41056,1.18637,0.61096,0.64448,0.65217,0.40891,1.54607,1.33113,1.12852,0.00703,0.00703,0.00703
17,2147.52,1.61796,1.38308,1.17113,0.59956,0.67392,0.63395,0.3853,1.52449,1.37095,1.11673,0.006832,0.006832,0.006832
18,2267.47,1.59234,1.38314,1.17383,0.64368,0.64272,0.64978,0.38411,1.5199,1.33075,1.10097,0.006634,0.006634,0.006634
19,2385.09,1.55659,1.34901,1.1521,0.65012,0.66531,0.64249,0.41477,1.4777,1.26349,1.09371,0.006436,0.006436,0.006436
20,2511.97,1.55114,1.29115,1.14577,0.68704,0.68385,0.64501,0.41236,1.46614,1.25787,1.08471,0.006238,0.006238,0.006238
21,2637.19,1.54566,1.28914,1.13924,0.66844,0.65681,0.63435,0.41267,1.49362,1.30572,1.09316,0.00604,0.00604,0.00604
22,2756.79,1.52499,1.26797,1.13283,0.65723,0.68656,0.62753,0.38037,1.49687,1.28004,1.10223,0.005842,0.005842,0.005842
23,2882.2,1.5324,1.26994,1.14135,0.6521,0.71559,0.69928,0.42444,1.47678,1.21464,1.09169,0.005644,0.005644,0.005644
24,3012.29,1.51572,1.27011,1.12947,0.63772,0.69091,0.6818,0.43437,1.45741,1.25021,1.0656,0.005446,0.005446,0.005446
25,3141.04,1.51666,1.23368,1.11913,0.66658,0.7337,0.71555,0.44732,1.42659,1.1942,1.0681,0.005248,0.005248,0.005248
26,3268.15,1.47624,1.21375,1.11387,0.65314,0.68651,0.69598,0.43563,1.43754,1.20361,1.07724,0.00505,0.00505,0.00505
27,3397.57,1.46646,1.17997,1.10932,0.67406,0.68809,0.69923,0.44285,1.40951,1.16244,1.06186,0.004852,0.004852,0.004852
28,3520.83,1.45967,1.19668,1.1051,0.68082,0.71702,0.70654,0.46595,1.4021,1.1647,1.06589,0.004654,0.004654,0.004654
29,3653,1.44224,1.15904,1.0975,0.70902,0.71094,0.69703,0.4569,1.39662,1.13309,1.06053,0.004456,0.004456,0.004456
30,3779.05,1.44059,1.16816,1.0931,0.66038,0.74755,0.7185,0.46293,1.39616,1.11761,1.05204,0.004258,0.004258,0.004258
31,3904.01,1.42006,1.13816,1.08849,0.69563,0.70937,0.71519,0.48289,1.36823,1.11882,1.04145,0.00406,0.00406,0.00406
32,4026.38,1.41339,1.13426,1.08165,0.67728,0.73084,0.72583,0.47552,1.36972,1.11364,1.03559,0.003862,0.003862,0.003862
33,4151.69,1.40264,1.10105,1.07852,0.67746,0.71903,0.71664,0.45233,1.36355,1.11101,1.04395,0.003664,0.003664,0.003664
34,4275.72,1.3939,1.08736,1.06973,0.66833,0.72701,0.72542,0.47888,1.35461,1.10456,1.03261,0.003466,0.003466,0.003466
35,4404.31,1.39342,1.09149,1.06637,0.68044,0.7427,0.71249,0.47177,1.34841,1.08539,1.02379,0.003268,0.003268,0.003268
36,4534.15,1.37677,1.0693,1.06506,0.70736,0.71165,0.72107,0.48565,1.33717,1.06828,1.02191,0.00307,0.00307,0.00307
37,4660.27,1.35255,1.03883,1.04843,0.68468,0.7482,0.70934,0.48845,1.32385,1.05053,1.0208,0.002872,0.002872,0.002872
38,4787.45,1.33891,1.03964,1.05142,0.67908,0.75565,0.73643,0.48697,1.33206,1.05546,1.02075,0.002674,0.002674,0.002674
39,4905.09,1.31454,1.01921,1.04795,0.68102,0.74672,0.73808,0.48076,1.34706,1.06007,1.0324,0.002476,0.002476,0.002476
40,5026.59,1.30952,0.99,1.03521,0.71768,0.7304,0.74668,0.50412,1.34012,1.03993,1.02203,0.002278,0.002278,0.002278
41,5151.77,1.35425,1.04002,1.04348,0.69263,0.74022,0.73865,0.48984,1.35655,1.05433,1.0401,0.00208,0.00208,0.00208
42,5277.22,1.3215,1.04188,1.04131,0.68358,0.75388,0.74091,0.50272,1.33773,1.05986,1.02647,0.001882,0.001882,0.001882
43,5398.08,1.30923,0.98288,1.03234,0.70632,0.74636,0.74856,0.50341,1.35033,1.05265,1.02671,0.001684,0.001684,0.001684
44,5510.73,1.30507,0.97465,1.02435,0.70904,0.72521,0.74523,0.50949,1.33119,1.03003,1.02411,0.001486,0.001486,0.001486
45,5627.58,1.3048,0.97283,1.02587,0.6747,0.76757,0.74455,0.50877,1.3236,1.02598,1.01995,0.001288,0.001288,0.001288
46,5744.37,1.27821,0.92779,1.01465,0.70877,0.75097,0.74289,0.50627,1.32553,1.03923,1.02537,0.00109,0.00109,0.00109
47,5849.42,1.28343,0.94135,1.01365,0.72002,0.74682,0.74567,0.50793,1.33121,1.04125,1.02662,0.000892,0.000892,0.000892
48,5964.29,1.24997,0.89787,1.00621,0.70965,0.7734,0.75021,0.51621,1.32984,1.027,1.0207,0.000694,0.000694,0.000694
49,6089.51,1.24544,0.88638,1.00626,0.70739,0.76071,0.74737,0.51143,1.32499,1.02787,1.01694,0.000496,0.000496,0.000496
50,6214.07,1.26026,0.8824,1.00818,0.69623,0.76662,0.74652,0.5106,1.32014,1.0305,1.01678,0.000298,0.000298,0.000298
