epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4992,1.71481,2.63478,1.25796,0.57551,0.36211,0.36264,0.19625,1.68025,1.85472,1.23717,0.00328889,0.00328889,0.0704
2,51.7812,1.54306,1.50958,1.15502,0.65549,0.50141,0.54154,0.32012,1.64737,1.75981,1.20791,0.0064911,0.0064911,0.0402689
3,75.8677,1.58849,1.43075,1.14325,0.42502,0.28764,0.25879,0.13917,2.2155,2.67538,1.48912,0.00956132,0.00956132,0.0100058
4,99.9925,1.651,1.4588,1.17475,0.61539,0.43164,0.48144,0.29658,1.7649,2.32022,1.24218,0.009406,0.009406,0.009406
5,125.583,1.69296,1.38914,1.1746,0.45112,0.30071,0.29499,0.1629,1.93106,2.03907,1.37974,0.009208,0.009208,0.009208
6,149.757,1.6766,1.33422,1.17272,0.59708,0.53761,0.57242,0.33487,1.67845,1.52943,1.20901,0.00901,0.00901,0.00901
7,173.642,1.62365,1.30709,1.15429,0.55489,0.26619,0.28638,0.13222,1.92742,2.44339,1.33104,0.008812,0.008812,0.008812
8,197.499,1.60603,1.25928,1.14095,0.61685,0.63589,0.61347,0.36626,1.64004,1.39122,1.16667,0.008614,0.008614,0.008614
9,222.182,1.58771,1.23795,1.13006,0.74875,0.51381,0.57108,0.34298,1.59926,1.40357,1.14792,0.008416,0.008416,0.008416
10,248.699,1.5654,1.17257,1.118,0.64323,0.68035,0.6661,0.40556,1.57213,1.41849,1.14983,0.008218,0.008218,0.008218
11,273.057,1.5143,1.15033,1.1023,0.7624,0.69162,0.72694,0.45811,1.54397,1.25309,1.11539,0.00802,0.00802,0.00802
12,297.633,1.52504,1.14326,1.10872,0.70302,0.58606,0.64766,0.40805,1.55224,1.26741,1.13615,0.007822,0.007822,0.007822
13,321.888,1.51738,1.11811,1.1049,0.68695,0.60748,0.64826,0.39665,1.60197,1.31684,1.16167,0.007624,0.007624,0.007624
14,346.96,1.481,1.06708,1.08452,0.61355,0.5703,0.57589,0.35048,1.5486,1.31228,1.12925,0.007426,0.007426,0.007426
15,370.44,1.46782,1.06707,1.07699,0.76549,0.72379,0.75457,0.46951,1.47548,1.12718,1.08949,0.007228,0.007228,0.007228
16,397.033,1.45978,1.06311,1.07333,0.78673,0.7082,0.75216,0.49858,1.47622,1.12999,1.09751,0.00703,0.00703,0.00703
17,420.999,1.45225,1.03284,1.08115,0.84541,0.71238,0.76162,0.5123,1.45322,1.09953,1.07834,0.006832,0.006832,0.006832
18,445.026,1.45514,1.04124,1.07768,0.7298,0.67778,0.72099,0.43666,1.53432,1.17061,1.12082,0.006634,0.006634,0.006634
19,469.731,1.40557,0.99824,1.06214,0.78419,0.70194,0.75725,0.49345,1.49486,1.08592,1.09351,0.006436,0.006436,0.006436
20,493.914,1.42801,0.99329,1.06373,0.79775,0.73609,0.77075,0.50585,1.44423,1.04379,1.07479,0.006238,0.006238,0.006238
21,518.456,1.3843,0.9617,1.05063,0.80343,0.72712,0.77876,0.52756,1.40706,1.00055,1.06297,0.00604,0.00604,0.00604
22,545.038,1.38958,0.94778,1.05009,0.74487,0.69815,0.74875,0.47237,1.4507,1.0462,1.08635,0.005842,0.005842,0.005842
23,569.305,1.38979,0.9584,1.04289,0.76097,0.74948,0.77758,0.50667,1.43495,1.00609,1.07218,0.005644,0.005644,0.005644
24,592.451,1.35208,0.9184,1.03566,0.8041,0.72603,0.77713,0.51129,1.43687,0.99767,1.06833,0.005446,0.005446,0.005446
25,616.464,1.36572,0.9198,1.03591,0.75367,0.67118,0.74827,0.48867,1.4298,1.07196,1.07524,0.005248,0.005248,0.005248
26,640.74,1.34634,0.89662,1.03389,0.81054,0.7226,0.77512,0.51233,1.42645,0.99238,1.06244,0.00505,0.00505,0.00505
27,667.209,1.33573,0.89196,1.02727,0.77934,0.72363,0.77469,0.48778,1.43831,1.01923,1.07909,0.004852,0.004852,0.004852
28,691.944,1.34522,0.89429,1.02837,0.82768,0.74142,0.79724,0.54357,1.37435,0.95514,1.04506,0.004654,0.004654,0.004654
29,715.246,1.3102,0.88098,1.0217,0.80235,0.772,0.79894,0.5283,1.36724,0.97182,1.04918,0.004456,0.004456,0.004456
30,739.059,1.30359,0.85384,1.01781,0.81403,0.75024,0.7954,0.53519,1.39038,0.94964,1.05839,0.004258,0.004258,0.004258
31,762.559,1.30625,0.85664,1.01064,0.80793,0.75586,0.78334,0.52208,1.38528,0.96926,1.05683,0.00406,0.00406,0.00406
32,786.603,1.29982,0.83564,1.00618,0.81163,0.75342,0.79558,0.54555,1.37134,0.9349,1.05414,0.003862,0.003862,0.003862
33,813.517,1.26567,0.81334,1.0018,0.78298,0.74207,0.7746,0.53469,1.38282,0.96567,1.0481,0.003664,0.003664,0.003664
34,837.355,1.26532,0.82373,1.0004,0.83837,0.76065,0.80183,0.54754,1.37575,0.9377,1.05491,0.003466,0.003466,0.003466
35,861.873,1.24041,0.80301,1.00305,0.81257,0.77122,0.80714,0.55536,1.35658,0.92134,1.04517,0.003268,0.003268,0.003268
36,885.902,1.2356,0.79152,0.98887,0.79585,0.7605,0.80564,0.55592,1.36029,0.92148,1.04189,0.00307,0.00307,0.00307
37,910.803,1.24178,0.77613,0.99114,0.83722,0.74535,0.80244,0.54281,1.38771,0.93373,1.0621,0.002872,0.002872,0.002872
38,937.015,1.20821,0.76576,0.98233,0.85744,0.76353,0.81425,0.55679,1.37091,0.88407,1.05072,0.002674,0.002674,0.002674
39,961.097,1.21003,0.76061,0.98144,0.81491,0.78299,0.81294,0.55699,1.35606,0.88552,1.04577,0.002476,0.002476,0.002476
40,984.955,1.21253,0.76303,0.98144,0.83874,0.77039,0.81403,0.56288,1.36388,0.89194,1.04665,0.002278,0.002278,0.002278
41,1010.04,1.2346,0.7637,0.98133,0.81305,0.76513,0.80694,0.55768,1.36654,0.89525,1.04912,0.00208,0.00208,0.00208
42,1032.44,1.22441,0.73011,0.97765,0.8444,0.77046,0.81564,0.57064,1.35792,0.88956,1.04204,0.001882,0.001882,0.001882
43,1057.58,1.19619,0.70571,0.96495,0.82068,0.7716,0.81386,0.57173,1.36261,0.89313,1.04901,0.001684,0.001684,0.001684
44,1079.81,1.18719,0.70515,0.96056,0.85499,0.76597,0.81185,0.57133,1.34883,0.89686,1.04526,0.001486,0.001486,0.001486
45,1103.34,1.17383,0.68844,0.95796,0.83647,0.78492,0.81447,0.5736,1.34194,0.88198,1.04331,0.001288,0.001288,0.001288
46,1126.75,1.15738,0.66801,0.9594,0.84331,0.77429,0.81378,0.57091,1.3473,0.86157,1.04083,0.00109,0.00109,0.00109
47,1149.97,1.15814,0.6654,0.95405,0.84177,0.78141,0.81524,0.57441,1.33875,0.8694,1.03882,0.000892,0.000892,0.000892
48,1175.95,1.12588,0.65385,0.94747,0.84783,0.76986,0.81226,0.57445,1.34204,0.86845,1.036,0.000694,0.000694,0.000694
49,1199.49,1.12417,0.64187,0.94448,0.84931,0.75754,0.81319,0.57425,1.34275,0.86183,1.04696,0.000496,0.000496,0.000496
50,1222.6,1.11507,0.63077,0.94173,0.83855,0.77464,0.8113,0.57934,1.33091,0.85179,1.0405,0.000298,0.000298,0.000298
