epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.1291,1.80987,2.49825,1.29879,0.57578,0.52033,0.51566,0.32022,1.55965,1.65753,1.09583,0.00331825,0.00331825,0.0701357
2,132.936,1.69237,1.47466,1.18813,0.60528,0.4593,0.50071,0.27843,1.76319,1.76922,1.22221,0.00651988,0.00651988,0.040004
3,198.979,1.74464,1.50503,1.22154,0.21838,0.19573,0.10674,0.04262,2.43177,2.98622,1.69134,0.00958951,0.00958951,0.00974034
4,265.712,1.90039,1.64417,1.29188,0.37641,0.21343,0.18978,0.08048,2.2774,2.62071,1.53349,0.009406,0.009406,0.009406
5,332.659,1.87199,1.57664,1.28572,0.57882,0.34991,0.35701,0.2058,1.83889,1.87381,1.26213,0.009208,0.009208,0.009208
6,396.801,1.81273,1.45234,1.25046,0.62723,0.51493,0.50852,0.28955,1.78638,1.67029,1.23322,0.00901,0.00901,0.00901
7,463.803,1.75931,1.39468,1.23316,0.56005,0.51485,0.45231,0.24979,1.80543,1.74621,1.22665,0.008812,0.008812,0.008812
8,532.117,1.74125,1.35842,1.21901,0.61761,0.60261,0.62019,0.35246,1.69323,1.45684,1.19667,0.008614,0.008614,0.008614
9,597.809,1.69891,1.2948,1.20473,0.67597,0.61259,0.65288,0.36415,1.61914,1.36175,1.17505,0.008416,0.008416,0.008416
10,663.743,1.68884,1.27103,1.19585,0.70807,0.64523,0.66058,0.40888,1.55704,1.35907,1.12978,0.008218,0.008218,0.008218
11,726.714,1.66952,1.23141,1.18828,0.71096,0.65305,0.66339,0.413,1.58923,1.30439,1.14358,0.00802,0.00802,0.00802
12,792.575,1.64433,1.19689,1.1789,0.68326,0.54238,0.57271,0.34955,1.63458,1.34314,1.18367,0.007822,0.007822,0.007822
13,858.847,1.60244,1.1618,1.16117,0.70569,0.6509,0.64642,0.39438,1.55915,1.29766,1.1291,0.007624,0.007624,0.007624
14,921.714,1.59849,1.14958,1.16411,0.72897,0.66012,0.69359,0.43753,1.5117,1.21366,1.10598,0.007426,0.007426,0.007426
15,986.775,1.59127,1.1405,1.14894,0.73884,0.60192,0.65096,0.4217,1.50913,1.25552,1.10022,0.007228,0.007228,0.007228
16,1049.56,1.5817,1.11683,1.14124,0.6865,0.66886,0.66047,0.40855,1.51694,1.20347,1.10759,0.00703,0.00703,0.00703
17,1115,1.55406,1.09838,1.13356,0.69064,0.70447,0.686,0.43155,1.48124,1.18096,1.08293,0.006832,0.006832,0.006832
18,1179.92,1.54673,1.08192,1.12961,0.73258,0.66269,0.66897,0.40486,1.49686,1.23581,1.10573,0.006634,0.006634,0.006634
19,1245.5,1.52921,1.06086,1.12106,0.76549,0.7125,0.74178,0.48933,1.44108,1.09117,1.07302,0.006436,0.006436,0.006436
20,1311.11,1.51166,1.02091,1.10929,0.73696,0.68361,0.70721,0.45111,1.43756,1.12491,1.06374,0.006238,0.006238,0.006238
21,1373.14,1.52176,1.03804,1.1078,0.73893,0.71386,0.73522,0.49093,1.43727,1.08813,1.06148,0.00604,0.00604,0.00604
22,1439.01,1.49024,1.01067,1.10705,0.80184,0.68714,0.73888,0.47378,1.42307,1.07425,1.0535,0.005842,0.005842,0.005842
23,1504.55,1.49471,1.00729,1.10476,0.7376,0.7289,0.72749,0.47745,1.41192,1.07033,1.05159,0.005644,0.005644,0.005644
24,1569.58,1.47009,0.98049,1.08788,0.73699,0.72521,0.7286,0.48981,1.41204,1.07341,1.05923,0.005446,0.005446,0.005446
25,1635.29,1.45985,0.98135,1.08839,0.76413,0.71516,0.7436,0.46276,1.41464,1.0631,1.05137,0.005248,0.005248,0.005248
26,1697.74,1.44905,0.96203,1.09047,0.75507,0.73439,0.74204,0.49503,1.39628,1.03093,1.04813,0.00505,0.00505,0.00505
27,1762.74,1.45982,0.95886,1.09054,0.74192,0.75915,0.72812,0.47112,1.41088,1.05761,1.05619,0.004852,0.004852,0.004852
28,1828.4,1.44586,0.93941,1.07676,0.74247,0.76224,0.75949,0.50125,1.39052,1.02363,1.04514,0.004654,0.004654,0.004654
