epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5758,1.69454,2.74367,1.24456,0.2743,0.14145,0.14688,0.07396,1.83369,2.79843,1.37663,0.00331429,0.00331429,0.0701714
2,108.373,1.63337,1.62674,1.17156,0.61125,0.3559,0.36686,0.18039,1.75606,1.93688,1.23029,0.00631856,0.00631856,0.0398424
3,162.309,1.70393,1.6537,1.2065,0.50524,0.32827,0.30927,0.17384,2.00911,2.44671,1.40992,0.00899284,0.00899284,0.00918331
4,217.663,1.88699,1.79623,1.28572,0.15475,0.09128,0.0662,0.03076,2.40284,3.73067,1.73575,0.008515,0.008515,0.008515
5,270.695,1.86052,1.68109,1.27149,0.63056,0.31719,0.32128,0.16404,2.0915,2.5787,1.49688,0.00802,0.00802,0.00802
6,324.125,1.80345,1.5916,1.2395,0.59939,0.5267,0.52945,0.27703,1.7676,1.75376,1.2573,0.007525,0.007525,0.007525
7,378.067,1.75739,1.55143,1.2308,0.54981,0.51695,0.49277,0.29622,1.73468,1.69366,1.23169,0.00703,0.00703,0.00703
8,431.187,1.6906,1.41445,1.18392,0.54392,0.5567,0.52718,0.30421,1.66047,1.52152,1.19815,0.006535,0.006535,0.006535
9,485.318,1.64042,1.36287,1.17153,0.62338,0.62386,0.63636,0.37045,1.59298,1.36817,1.15671,0.00604,0.00604,0.00604
10,541.075,1.60418,1.29317,1.15208,0.67497,0.59415,0.63713,0.40028,1.56533,1.32791,1.13509,0.005545,0.005545,0.005545
11,593.396,1.62879,1.35144,1.17095,0.61958,0.57124,0.60402,0.36089,1.62536,1.36418,1.15308,0.00505,0.00505,0.00505
12,644.884,1.63428,1.32836,1.16634,0.6832,0.62351,0.63447,0.38918,1.61654,1.36462,1.1505,0.004555,0.004555,0.004555
13,696.602,1.58595,1.24137,1.13741,0.70346,0.67072,0.67513,0.41489,1.5369,1.23712,1.11524,0.00406,0.00406,0.00406
14,751.605,1.56465,1.23104,1.12866,0.74684,0.65863,0.68671,0.4451,1.50809,1.22321,1.10621,0.003565,0.003565,0.003565
15,807.691,1.50895,1.16882,1.10941,0.73392,0.62455,0.6574,0.4085,1.55619,1.27783,1.12461,0.00307,0.00307,0.00307
16,860.572,1.48815,1.10664,1.09483,0.76406,0.69938,0.7395,0.49561,1.42347,1.08402,1.06079,0.002575,0.002575,0.002575
17,912.903,1.45143,1.06941,1.08015,0.77271,0.69506,0.73953,0.49556,1.40759,1.06741,1.05605,0.00208,0.00208,0.00208
18,965.377,1.43203,1.04076,1.07117,0.77456,0.69662,0.71622,0.47918,1.38969,1.06203,1.05673,0.001585,0.001585,0.001585
19,1017.52,1.37857,0.97363,1.04979,0.75684,0.72641,0.74358,0.50074,1.38661,1.0424,1.03709,0.00109,0.00109,0.00109
20,1073.12,1.35137,0.95063,1.03781,0.77949,0.72886,0.7562,0.51202,1.34516,0.99394,1.0266,0.000595,0.000595,0.000595
