epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.1837,1.33979,2.03756,1.30696,0.53158,0.40823,0.38727,0.24512,1.69272,1.85251,1.18841,0.00331939,0.00331939,0.0701255
2,135.552,1.19115,1.19481,1.18038,0.54132,0.44288,0.43901,0.28299,1.68901,2.00051,1.19739,0.006521,0.006521,0.0399938
3,191.919,1.25608,1.20673,1.20235,0.48516,0.5048,0.43681,0.2619,1.826,1.90985,1.30161,0.00959061,0.00959061,0.00973008
4,251.259,1.34805,1.29829,1.25146,0.46883,0.3565,0.32611,0.19163,1.98346,2.09231,1.37532,0.009406,0.009406,0.009406
5,310.223,1.3381,1.2292,1.22473,0.50746,0.62171,0.58872,0.38879,1.64337,1.55041,1.16864,0.009208,0.009208,0.009208
6,371.915,1.25897,1.12961,1.19466,0.68307,0.6268,0.63691,0.40005,1.62877,1.4767,1.15986,0.00901,0.00901,0.00901
7,432.025,1.22173,1.07957,1.17932,0.6543,0.66738,0.64101,0.41252,1.58288,1.37951,1.14991,0.008812,0.008812,0.008812
8,489.094,1.19124,1.03455,1.16503,0.66637,0.7151,0.66721,0.42424,1.55122,1.30469,1.1233,0.008614,0.008614,0.008614
9,551.876,1.1708,1.00374,1.15188,0.7146,0.63993,0.65363,0.3728,1.60647,1.34582,1.15436,0.008416,0.008416,0.008416
10,608.991,1.15157,0.97102,1.13967,0.71945,0.66688,0.70317,0.47961,1.51364,1.20859,1.0991,0.008218,0.008218,0.008218
11,666.444,1.12556,0.93804,1.12642,0.7612,0.71088,0.72139,0.47746,1.47335,1.1692,1.09291,0.00802,0.00802,0.00802
12,730.309,1.10137,0.9119,1.11435,0.70138,0.6962,0.69424,0.4695,1.45972,1.15362,1.08183,0.007822,0.007822,0.007822
13,796.477,1.06965,0.86991,1.09886,0.67397,0.70577,0.69906,0.47341,1.46003,1.16808,1.0794,0.007624,0.007624,0.007624
