epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6304,1.69917,3.00311,1.26272,0.56594,0.46842,0.44809,0.22612,1.69056,1.96656,1.22453,0.00328889,0.00328889,0.0704
2,66.644,1.5577,1.44545,1.14323,0.54791,0.63355,0.60579,0.36728,1.59953,1.89632,1.15735,0.00629442,0.00629442,0.0400722
3,95.8717,1.60631,1.43054,1.1367,0.38989,0.38384,0.28479,0.1442,1.85442,2.19983,1.28414,0.00896996,0.00896996,0.0094144
4,124.705,1.68651,1.50156,1.18249,0.44024,0.35535,0.35015,0.20716,1.8257,2.92929,1.29534,0.008515,0.008515,0.008515
5,154.328,1.70292,1.41286,1.17198,0.68488,0.13204,0.11744,0.04908,2.27297,2.85456,1.5206,0.00802,0.00802,0.00802
6,185.15,1.6745,1.34262,1.16557,0.21761,0.19127,0.17532,0.08491,1.87112,2.38057,1.33008,0.007525,0.007525,0.007525
7,212.651,1.62543,1.28865,1.15013,0.6389,0.48219,0.5123,0.26063,1.79771,1.66816,1.24191,0.00703,0.00703,0.00703
8,237.706,1.5883,1.24236,1.13145,0.64077,0.55474,0.59564,0.33129,1.75135,1.61911,1.23777,0.006535,0.006535,0.006535
9,267.909,1.55852,1.21165,1.12267,0.67212,0.59925,0.6495,0.40462,1.64786,1.36492,1.15005,0.00604,0.00604,0.00604
10,297.635,1.52061,1.13779,1.09911,0.76747,0.69219,0.7403,0.47593,1.50421,1.17719,1.101,0.005545,0.005545,0.005545
11,327.363,1.55154,1.16241,1.11687,0.76689,0.48682,0.57041,0.34693,1.67916,1.42036,1.17304,0.00505,0.00505,0.00505
12,353.028,1.53051,1.12368,1.09993,0.7014,0.49427,0.55312,0.32721,1.70074,1.38913,1.20412,0.004555,0.004555,0.004555
13,378.288,1.51402,1.08565,1.10175,0.73946,0.55233,0.63432,0.39452,1.62493,1.34174,1.18186,0.00406,0.00406,0.00406
14,408.427,1.48674,1.05837,1.07944,0.8165,0.69078,0.75894,0.49672,1.48045,1.1175,1.08614,0.003565,0.003565,0.003565
15,438.369,1.44131,0.99801,1.07225,0.77104,0.63993,0.71037,0.40639,1.5457,1.1618,1.12516,0.00307,0.00307,0.00307
16,468.007,1.43212,0.98003,1.05884,0.77191,0.69327,0.7497,0.50585,1.43652,1.11056,1.06868,0.002575,0.002575,0.002575
17,497.899,1.40247,0.93683,1.05314,0.79412,0.74531,0.77947,0.51798,1.40988,1.01192,1.06115,0.00208,0.00208,0.00208
18,528.06,1.37354,0.90196,1.02963,0.86044,0.74193,0.79892,0.54679,1.3681,0.98169,1.03196,0.001585,0.001585,0.001585
19,558.01,1.32975,0.86182,1.02231,0.86148,0.733,0.80156,0.55604,1.35113,0.97924,1.03033,0.00109,0.00109,0.00109
20,588.859,1.30947,0.84161,1.01634,0.85141,0.74604,0.79926,0.559,1.34206,0.94348,1.03062,0.000595,0.000595,0.000595
