epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4733,1.74411,3.1018,1.26046,0.90666,0.15852,0.40693,0.22346,1.60304,3.26324,1.12321,0.00328889,0.00328889,0.0704
2,43.6768,1.66935,1.92322,1.19796,0.53648,0.28985,0.34234,0.18449,1.73395,2.47423,1.25741,0.00629442,0.00629442,0.0400722
3,63.8851,1.71139,1.73818,1.18294,0.59401,0.217,0.28497,0.14053,1.99172,2.43969,1.33336,0.00896996,0.00896996,0.0094144
4,87.1572,1.74332,1.74187,1.20627,0.41767,0.17981,0.20657,0.10285,1.91909,2.46599,1.38092,0.008515,0.008515,0.008515
5,104.218,1.738,1.59227,1.18482,0.52749,0.42617,0.44703,0.24789,1.79816,1.81798,1.22834,0.00802,0.00802,0.00802
6,124.819,1.71463,1.51835,1.1833,0.17277,0.12253,0.11734,0.0554,2.11842,2.60961,1.54208,0.007525,0.007525,0.007525
7,141.152,1.66787,1.44701,1.16244,0.64834,0.51748,0.55482,0.32649,1.70622,1.667,1.1942,0.00703,0.00703,0.00703
8,159.834,1.62316,1.38355,1.13793,0.67695,0.58184,0.62993,0.39962,1.62184,1.49833,1.14428,0.006535,0.006535,0.006535
9,176.675,1.60733,1.35831,1.13121,0.61016,0.54715,0.57266,0.31248,1.61596,1.47734,1.16225,0.00604,0.00604,0.00604
10,192.509,1.56975,1.27408,1.11318,0.63967,0.668,0.6682,0.40029,1.54543,1.40793,1.11527,0.005545,0.005545,0.005545
11,215.687,1.58823,1.32154,1.12792,0.73007,0.60574,0.67873,0.42416,1.64843,1.46291,1.14196,0.00505,0.00505,0.00505
12,232.615,1.57197,1.26103,1.11537,0.72794,0.56664,0.63513,0.37018,1.66538,1.41307,1.17691,0.004555,0.004555,0.004555
13,250.75,1.56921,1.24242,1.12693,0.73431,0.6826,0.71856,0.47302,1.50712,1.29732,1.10225,0.00406,0.00406,0.00406
14,265.803,1.52327,1.1911,1.09477,0.66727,0.57009,0.60423,0.36565,1.63593,1.50586,1.16626,0.003565,0.003565,0.003565
15,284.083,1.49292,1.13679,1.08771,0.77449,0.70727,0.74889,0.47661,1.52519,1.21125,1.09315,0.00307,0.00307,0.00307
16,299.915,1.47552,1.1159,1.07263,0.82364,0.70242,0.76078,0.51122,1.45671,1.16942,1.0622,0.002575,0.002575,0.002575
17,315.986,1.46136,1.08464,1.07037,0.79068,0.69844,0.75514,0.49776,1.45401,1.1427,1.07212,0.00208,0.00208,0.00208
18,333.439,1.42981,1.04684,1.05092,0.80942,0.70919,0.77468,0.50036,1.4549,1.10403,1.07028,0.001585,0.001585,0.001585
19,349.551,1.3881,1.0148,1.03578,0.78614,0.75491,0.78862,0.53632,1.39473,1.06946,1.04049,0.00109,0.00109,0.00109
20,367.07,1.36986,0.99381,1.033,0.81793,0.74733,0.79416,0.55321,1.38152,1.03059,1.02815,0.000595,0.000595,0.000595
